modId:ID,name,version,author,pzVersion,description,:LABEL
Performance,Every Texture Optimized – Performance mode,4.2.0,maceleet,42.11.0,"<RGB:0.71,0.11,0.13> 7500 LIKES – ABSOLUTELY LOSSLESS OPTIMIZATION! <LINE> <RGB:1.0,0.99,0.93> Lossy version, for Laptops and Weak PCs where important to squeeze out maximum performance, but at the same time play on decent texture quality. <LINE> The mod supports multiplayer, but you need to install it MANUALLY (before overwriting game files, BE SURE TO MAKE A BACKUP) <LINE> If you encounter a problem please write in: <RGB:0.25,0.83,0.24> [B42] Feedback <LINE>  <LINE> <RGB:0.75,0.64,0.37> P.S: STEAM POINTS and LIKES still the best way to thank me <3",Mod
Taylorsville,Taylorsville,2.0.4,Erika,42.0.0,"Taylorsville is a town located south on the Ohio River, west of West Point. The town is based on the real-life town of Taylorsville, KY.",Mod
clairemodpack,Claire's modpack,,,,"Modpack for server, works with 42.16.3+ version",Mod
93chevySuburban,'93 Chevrolet Suburban / Silverado,,KI5,42.13.0,This mod adds Chevrolet Suburban and Silverado trucks from 1993,Mod
93chevySuburbanExpanded,'93 Chevrolet Suburban / Silverado Expanded,,KI5,42.0.0,This submod adds 20+ new variants for Chevrolet Suburban / Silverado,Mod
76chevyKseries,'76 Chevrolet K series,,KI5,42.13.0,This mod adds Chevrolet K Series trucks from 1976,Mod
damnlib,that DAMN Library,0.9862b,KI5/bikinihorst,42.17.0,Asset library required by all KI5 mods,Mod
P4MedicalMeister,Medical Meister,1.9.0,PePePePePeil,42.0.0,"By clicking the Moodle icon, the appropriate action will be immediately executed.",Mod
87chevySuburban,'87 Chevrolet Suburban,,KI5,42.13.0,"This mod adds Chevrolet Suburban, Truck from 1987",Mod
P4Decoholic,Decoholic,1.17.0,PePePePePeil,42.15.0,You will be able to select the overlay graphic of the furniture.,Mod
75grandPrix,'75 Pontiac Grand Prix,,KI5,42.13.0,This mod adds Pontiac Grand Prix from 1975,Mod
PZKCarzoneWorkshop,PZK Carzone DIY Workshop [B42],1.20,Peter Hammerman,,"PZK VLC Carzone workshop [B42]<LINE><RGB:1,0.6,0.2>Made for Build 42.0  <RGB:0.3,1,0.6><LINE><LINE>Mod adds frameworks and mechanic functionalities<LINE>and car maintenance.<LINE><LINE>Current functionalities:<LINE><LINE>- remove rust vehicle with ripped sheet and solvent<LINE><LINE><LINE>",Mod
PZKExtendedVehicleZones,PZK Extended vehicle zones [B42],1.20,Peter Hammerman,,"PZK VLC Extended vehicle zones [B42]<LINE><RGB:1,0.6,0.2>Made for Build 42.0  <RGB:0.3,1,0.6><LINE><LINE>Mod adds new vehicle zones to map like farming equipment, music festivals, gang spawns, hearses, bank trucks etc. This mod includes Tread's Military Vehicle Zone Defs made by Trealak, remade to work with 42.0 <LINE>",Mod
PzkVanillaPlusCarPack,PZK Vanilla Plus Car Pack,42.14,Peter Hammerman,,PZK Vanilla Plus Car Pack,Mod
87buickRegal,'87 Buick Regal,,KI5,42.13.0,This mod adds Buick Regal from 1987,Mod
80manKat1,'80 MAN KAT1,,KI5,42.0.0,This mod adds MAN KAT1 Truck from 1980,Mod
mapcursorcord,Map Coordinates Location Cursor Tooltip [B41/B42],,Vorshim92,42.15,This mod add a tooltip on cursor when you open the map. showing the coordinates! and enable cell grid also for the user!,Mod
81deloreanDMC12,'81 DeLorean DMC-12,,KI5,42.13.0,This mod adds DeLorean DMC-12 from 1981,Mod
81deloreanDMC12BTTF,'81 DeLorean DMC-12 Time Machine,,KI5,42.0.0,This mod enables spawns for Time Machine DeLorean DMC-12 from BTTF,Mod
68firebird,'68 Pontiac Firebird,,KI5,42.13.0,This mod adds Pontiac Firebird from 1968,Mod
Bandits2,Bandits,,Slayer,,"<RED>V2 incompatibile with previous versions, best to start new world",Mod
RemoveHairChangeRestrictions,Remove Hair Change Restrictions,,,,,Mod
ClothingLine,Functioning Clothing line,1.1.1,gunslinger,42.13,makes it so you can dry clothes on a clothing line,Mod
92jeepYJJP18,'92 Jeep Wrangler YJ JP18,,KI5,42.0.0,This mod enables spawns for Jeep Wrangler YJ JP18 from Jurassic Park,Mod
92jeepYJ,'92 Jeep Wrangler YJ,,KI5,42.13.0,This mod adds Jeep Wrangler YJ from 1992,Mod
89volvo200,'89 Volvo 200 Series,,KI5,42.13.0,This mod adds Volvo 200 Series from 1989,Mod
animeshader,Anime Shader,1.0.0,LazyCat,42.0.0,Reduced Lighting Effects,Mod
StandardizedVehicleUpgrades3V,Standardized Vehicle Upgrades 3 - Vanilla,,,,Just a set of basic upgrades for cars.,Mod
GanydeBielovzki's Frockin Splendor!,Frockin Splendor!,,GanydeBielovzki,,An entire clothing store worth of dresses and designer dresses.,Mod
SimpleSilencers,Simple Silencers,2.0,Wyr3d,42.15.0,"Adds a suppressor for automatic handguns and rifles, and a makeshift suppressor for automatic handguns only.",Mod
KeepPerkLevel,Keep Perk Level,,,,죽어도 스킬 레벨과 경험치를 그대로 유지합니다 <LINE> <LINE>,Mod
98stagea,'98 Nissan Stagea 260RS Autech,,KI5,42.13.0,This mod adds Nissan Stagea from 1998,Mod
82firebirdKITT,'82 Pontiac Firebird Trans Am KITT,,KI5,42.0.0,This mod enables spawns for KITT and KARR variants,Mod
82firebird,'82 Pontiac Firebird,,KI5,42.13.0,This mod adds Pontiac Firebird from 1982,Mod
KI5trailers,Trailers!,,KI5,42.13.0,This mod adds a collection of lore friendly trailers,Mod
UseBeltAsWeapon,Use Belt as Weapon,1.1,,42.13.0,Use the belt as a weapon.,Mod
SPNRetextureZombieUnderwear,Spongie's Character Retexture - Zombie Underwear,,Spongie,,Zombie Retexture,Mod
SPNRetexture,Spongie's Character Retexture - Nude,,Spongie,,Human Retexture,Mod
SPNRetextureZombie,Spongie's Character Retexture - Zombie Nude,,Spongie,,Zombie Retexture,Mod
